 generic den (log10(g/m3)),a0 CLW (mm),a0 rain (mm),a0 ice (mm),a0 snow (mm),a0 graupel (mm)                                                                                                                                                               
 -0.44444444E+01,0.14299330E+04,0.27664132E+03,0.14299330E+04,0.23271269E+03,0.20688326E+03                                                                                                                                                                
 -0.42828283E+01,0.20745880E+04,0.30361350E+03,0.20745880E+04,0.25540189E+03,0.22705412E+03                                                                                                                                                                
 -0.41212121E+01,0.30098719E+04,0.33321545E+03,0.30098719E+04,0.28030326E+03,0.24919161E+03                                                                                                                                                                
 -0.39595960E+01,0.43668088E+04,0.36570354E+03,0.43668088E+04,0.30763248E+03,0.27348749E+03                                                                                                                                                                
 -0.37979798E+01,0.63354919E+04,0.40135918E+03,0.63354919E+04,0.33762627E+03,0.30015218E+03                                                                                                                                                                
 -0.36363636E+01,0.91917140E+04,0.44049121E+03,0.91917140E+04,0.37054442E+03,0.32941665E+03                                                                                                                                                                
 -0.34747475E+01,0.13335603E+05,0.48343856E+03,0.13335603E+05,0.40667204E+03,0.36153437E+03                                                                                                                                                                
 -0.33131313E+01,0.19347677E+05,0.53057322E+03,0.19347677E+05,0.44632206E+03,0.39678352E+03                                                                                                                                                                
 -0.31515152E+01,0.28070167E+05,0.58230345E+03,0.28070167E+05,0.48983791E+03,0.43546942E+03                                                                                                                                                                
 -0.29898990E+01,0.40725005E+05,0.63907732E+03,0.40725005E+05,0.53759650E+03,0.47792715E+03                                                                                                                                                                
 -0.28282828E+01,0.59085010E+05,0.70138657E+03,0.59085010E+05,0.59001150E+03,0.52452446E+03                                                                                                                                                                
 -0.26666667E+01,0.85722233E+05,0.76977090E+03,0.85722233E+05,0.64753689E+03,0.57566495E+03                                                                                                                                                                
 -0.25050505E+01,0.12436828E+06,0.84482261E+03,0.12436828E+06,0.71067094E+03,0.63179157E+03                                                                                                                                                                
 -0.23434343E+01,0.18043708E+06,0.92719177E+03,0.18043708E+06,0.77996048E+03,0.69339047E+03                                                                                                                                                                
 -0.21818182E+01,0.26178331E+06,0.10175918E+04,0.26178331E+06,0.85600566E+03,0.76099518E+03                                                                                                                                                                
 -0.20202020E+01,0.37980276E+06,0.11168058E+04,0.37980276E+06,0.93946516E+03,0.83519128E+03                                                                                                                                                                
 -0.18585859E+01,0.55102878E+06,0.12256930E+04,0.55102878E+06,0.10310618E+04,0.91662139E+03                                                                                                                                                                
 -0.16969697E+01,0.79944841E+06,0.13451965E+04,0.79944841E+06,0.11315891E+04,0.10059908E+04                                                                                                                                                                
 -0.15353535E+01,0.11598628E+07,0.14763515E+04,0.11598628E+07,0.12419176E+04,0.11040737E+04                                                                                                                                                                
 -0.13737374E+01,0.16827623E+07,0.16202940E+04,0.16827623E+07,0.13630031E+04,0.12117195E+04                                                                                                                                                                
 -0.12121212E+01,0.24413999E+07,0.17782706E+04,0.24413999E+07,0.14958942E+04,0.13298607E+04                                                                                                                                                                
 -0.10505051E+01,0.35420533E+07,0.19516498E+04,0.35420533E+07,0.16417420E+04,0.14595205E+04                                                                                                                                                                
 -0.88888889E+00,0.51389128E+07,0.21419332E+04,0.51389128E+07,0.18018099E+04,0.16018219E+04                                                                                                                                                                
 -0.72727273E+00,0.74556826E+07,0.23507691E+04,0.74556826E+07,0.19774841E+04,0.17579976E+04                                                                                                                                                                
 -0.56565657E+00,0.10816919E+08,0.25799662E+04,0.10816919E+08,0.21702864E+04,0.19294002E+04                                                                                                                                                                
 -0.40404040E+00,0.15693497E+08,0.28315097E+04,0.15693497E+08,0.23818866E+04,0.21175143E+04                                                                                                                                                                
 -0.24242424E+00,0.22768577E+08,0.31075784E+04,0.22768577E+08,0.26141176E+04,0.23239693E+04                                                                                                                                                                
 -0.80808081E-01,0.33033307E+08,0.34105635E+04,0.33033307E+08,0.28689908E+04,0.25505535E+04                                                                                                                                                                
 0.80808081E-01,0.47925673E+08,0.37430892E+04,0.47925673E+08,0.31487139E+04,0.27992293E+04                                                                                                                                                                 
 0.24242424E+00,0.69531946E+08,0.41080358E+04,0.69531946E+08,0.34557096E+04,0.30721507E+04                                                                                                                                                                 
 0.40404040E+00,0.10087895E+09,0.45085642E+04,0.10087895E+09,0.37926370E+04,0.33716816E+04                                                                                                                                                                 
 0.56565657E+00,0.14635808E+09,0.49481436E+04,0.14635808E+09,0.41624145E+04,0.37004164E+04                                                                                                                                                                 
