 generic den (log10(g/m3)),a0 CLW (mm),a0 rain (mm),a0 ice (mm),a0 snow (mm),a0 graupel (mm)                                                                                                                                                               
 0.47676768E+01,0.54909526E-02,0.54908581E-02,0.54909526E-02,0.21995930E-01,0.13739262E-01                                                                                                                                                                 
 0.49292929E+01,0.79664320E-02,0.79662950E-02,0.79664320E-02,0.31912328E-01,0.19933317E-01                                                                                                                                                                 
 0.50909091E+01,0.11557929E-01,0.11557730E-01,0.11557929E-01,0.46299323E-01,0.28919830E-01                                                                                                                                                                 
 0.52525253E+01,0.16768576E-01,0.16768287E-01,0.16768576E-01,0.67172391E-01,0.41957721E-01                                                                                                                                                                 
 0.54141414E+01,0.24328332E-01,0.24327914E-01,0.24328332E-01,0.97455638E-01,0.60873469E-01                                                                                                                                                                 
 0.55757576E+01,0.35296245E-01,0.35295637E-01,0.35296245E-01,0.14139144E+00,0.88316981E-01                                                                                                                                                                 
 0.57373737E+01,0.51208808E-01,0.51207927E-01,0.51208808E-01,0.20513478E+00,0.12813282E+00                                                                                                                                                                 
 0.58989899E+01,0.74295212E-01,0.74293934E-01,0.74295212E-01,0.29761544E+00,0.18589878E+00                                                                                                                                                                 
 0.60606061E+01,0.10778963E+00,0.10778778E+00,0.10778963E+00,0.43178904E+00,0.26970730E+00                                                                                                                                                                 
 0.62222222E+01,0.15638430E+00,0.15638161E+00,0.15638430E+00,0.62645196E+00,0.39129911E+00                                                                                                                                                                 
 0.63838384E+01,0.22688684E+00,0.22688294E+00,0.22688684E+00,0.90887454E+00,0.56770801E+00                                                                                                                                                                 
 0.65454545E+01,0.32917396E+00,0.32916830E+00,0.32917396E+00,0.13186213E+01,0.82364712E+00                                                                                                                                                                 
 0.67070707E+01,0.47757505E+00,0.47756684E+00,0.47757505E+00,0.19130938E+01,0.11949709E+01                                                                                                                                                                 
 0.68686869E+01,0.69287963E+00,0.69286771E+00,0.69287963E+00,0.27755715E+01,0.17336982E+01                                                                                                                                                                 
 0.70303030E+01,0.10052497E+01,0.10052324E+01,0.10052497E+01,0.40268790E+01,0.25152993E+01                                                                                                                                                                 
 0.71919192E+01,0.14584452E+01,0.14584201E+01,0.14584452E+01,0.58423120E+01,0.36492686E+01                                                                                                                                                                 
 0.73535354E+01,0.21159543E+01,0.21159179E+01,0.21159543E+01,0.84761944E+01,0.52944639E+01                                                                                                                                                                 
 0.75151515E+01,0.30698874E+01,0.30698346E+01,0.30698874E+01,0.12297507E+02,0.76813606E+01                                                                                                                                                                 
 0.76767677E+01,0.44538809E+01,0.44538043E+01,0.44538809E+01,0.17841577E+02,0.11144339E+02                                                                                                                                                                 
 0.78383838E+01,0.64618186E+01,0.64617075E+01,0.64618186E+01,0.25885073E+02,0.16168528E+02                                                                                                                                                                 
 0.80000000E+01,0.93749924E+01,0.93748312E+01,0.93749924E+01,0.37554809E+02,0.23457765E+02                                                                                                                                                                 
